itemID,item,item_type,category,choices,definition,uni_lemma,gloss,complexity_category
item_1,au,word,sounds,understands; produces,au/ai (pijn),ouch,ouch,
item_2,beh beh,word,sounds,understands; produces,beh beh (schaap),baa baa,baa baa,
item_3,beu,word,sounds,understands; produces,beu/boe/meu/moeh (koe),moo,moo,
item_4,blub,word,sounds,understands; produces,blub blub (vis),,blub,
item_5,grrr,word,sounds,understands; produces,grrr (grommen),,grrr,
item_6,hallo,word,sounds,understands; produces,hallo (telefoon),,hello,
item_7,ieaa,word,sounds,understands; produces,ie-aa ie-aa (ezel),,hee-haw,
item_8,juujuu,word,sounds,understands; produces,juu juu/huu huu (paard),,neigh,
item_9,knor,word,sounds,understands; produces,knor knor/ngr ngr (varken),,oink,
item_10,kukelukuu,word,sounds,understands; produces,kukelukuu (haan),cockadoodledoo,cockadoodledoo,
item_11,kwak kwak,word,sounds,understands; produces,kwak kwak (eend),quack quack,quack quack,
item_12,miauw,word,sounds,understands; produces,miauw/mauw (poes),meow,meow,
item_13,mjam mjam,word,sounds,understands; produces,mjam mjam (lekker),yum yum,yum yum,
item_14,oh ooh,word,sounds,understands; produces,oh ooh (verbazing),,uh oh,
item_15,piep,word,sounds,understands; produces,piep piep (muis),,squeek,
item_16,ssss,word,sounds,understands; produces,ssss (slang),,ssss,
item_17,tiktak,word,sounds,understands; produces,tik tak (klok),,tick tock,
item_18,tjoek(e) tjoek,word,sounds,understands; produces,tjoek(e) tjoek (trein),choo choo,choo choo,
item_19,tuuta,word,sounds,understands; produces,tuuta tuuta (ziekwagen/ziekenauto/brandweer/politieauto),,tuuta tuuta,
item_20,vroem,word,sounds,understands; produces,vroem/broem (auto),,vroom,
item_21,waf waf,word,sounds,understands; produces,waf waf (hond),woof woof,woof woof,
item_22,aap,word,animals,understands; produces,aap,monkey,monkey,
item_23,beer,word,animals,understands; produces,beer,bear,bear,
item_24,bij,word,animals,understands; produces,bij,bee,bee,
item_25,dier,word,animals,understands; produces,dier/beest,animal,animal,
item_26,eekhoorn,word,animals,understands; produces,eekhoorn,squirrel,squirrel,
item_27,eend,word,animals,understands; produces,eend,duck,duck,
item_28,egel,word,animals,understands; produces,egel,,hedgehog,
item_29,ezel,word,animals,understands; produces,ezel,donkey,donkey,
item_30,geit,word,animals,understands; produces,geit,,goat,
item_31,giraf,word,animals,understands; produces,giraf,giraffe,giraffe,
item_32,haan,word,animals,understands; produces,haan,,rooster,
item_33,hamster,word,animals,understands; produces,hamster/cavia,,ginaepig,
item_34,hert,word,animals,understands; produces,hert/Bambi,deer,deer,
item_35,hond,word,animals,understands; produces,hond(je),dog,dog,
item_36,kat,word,animals,understands; produces,kat/poes(je),cat,cat,
item_37,kikker,word,animals,understands; produces,kikker,frog,frog,
item_38,kip,word,animals,understands; produces,kip,chicken,chicken,
item_39,koe,word,animals,understands; produces,koe,cow,cow,
item_25,konijn,word,animals,understands; produces,konijn(tje),bunny,rabbit,
item_26,krokodil,word,animals,understands; produces,krokodil,,alligator,
item_27,lam,word,animals,understands; produces,lam(metje),lamb,lamb,
item_35,leeuw,word,animals,understands; produces,leeuw,lion,lion,
item_36,luipaard,word,animals,understands; produces,luipaard,,leopard,
item_37,mier,word,animals,understands; produces,mier,ant,ant,
item_38,mug/vlieg,word,animals,understands; produces,mug/vlieg,,mosquito,
item_39,muis,word,animals,understands; produces,muis,mouse,mouse,
item_40,olifant,word,animals,understands; produces,olifant,elephant,elephant,
item_41,paard,word,animals,understands; produces,paard,horse,horse,
item_42,panter,word,animals,understands; produces,panter,,panther,
item_43,papegaai,word,animals,understands; produces,papegaai,,parrot,
item_44,pinguin,word,animals,understands; produces,pinguin/Pingu,penguin,penguin,
item_45,pony,word,animals,understands; produces,pony,,pony,
item_46,rups,word,animals,understands; produces,rups,,caterpillar,
item_47,schaap,word,animals,understands; produces,schaap,,scheep,
